threshold,clf_acc,baseline_R@1,fullrerank_R@1,adaptive_R@1,hard_rate,savings_vs_fullrerank
0.05,0.8784561491304892,0.8784561491304892,0.898035781308645,0.8784561491304892,0.0,0.95
0.15,0.9072626047791817,0.8784561491304892,0.898035781308645,0.8864006005254598,0.08222819967471538,0.8718832103090204
0.25,0.9156449393219067,0.8784561491304892,0.898035781308645,0.8906543225322157,0.13202176904791693,0.8245793194044789
0.35,0.9132365820092581,0.8784561491304892,0.898035781308645,0.8938133366695858,0.16120355310897036,0.7968566245464782
0.45,0.9069185537345177,0.8784561491304892,0.898035781308645,0.896159139246841,0.18428625046916053,0.7749280620542975
0.55,0.9001000875766295,0.8784561491304892,0.898035781308645,0.8970349055423495,0.198611284874265,0.7613192793694482
0.65,0.8911234830476668,0.8784561491304892,0.898035781308645,0.8977855623670712,0.215344676592018,0.7454225572375829
0.75,0.8791442512198173,0.8784561491304892,0.898035781308645,0.8980670586763418,0.23207806830977104,0.7295258351057174
0.85,0.8651007131239835,0.8784561491304892,0.898035781308645,0.8985362191917928,0.24956211685224572,0.7129159889903666
0.95,0.8304766670836983,0.8784561491304892,0.898035781308645,0.8984423870887026,0.2864381333666959,0.677883773301639
