C,val_roc_auc
0.01,0.9530846713034801
0.03,0.95308467130348
0.1,0.9530849003624592
0.3,0.9530457770888171
1.0,0.9530496023737693
3.0,0.9530270812949373
10.0,0.9530275073446387
30.0,0.9530279746249563
100.0,0.9530279746249563
