query_id,inliers_top1,baseline_correct,reranked_correct
317,8.0,0,0
318,7.0,0,0
319,9.0,0,0
320,6.0,0,0
321,6.0,0,0
322,8.0,0,0
323,5.0,0,0
324,11.0,0,0
325,7.0,0,0
326,7.0,0,0
327,6.0,0,0
328,10.0,0,0
329,6.0,0,0
330,13.0,0,0
331,30.0,0,0
332,15.0,0,0
333,6.0,0,0
334,9.0,0,0
335,8.0,0,0
336,8.0,0,0
337,10.0,0,0
338,5.0,0,0
339,6.0,0,1
340,7.0,0,0
341,12.0,0,0
342,9.0,0,1
343,7.0,0,0
344,128.0,1,1
345,6.0,0,1
346,96.0,1,1
347,8.0,0,1
348,110.0,1,1
349,6.0,0,0
350,5.0,0,0
351,12.0,0,0
352,14.0,0,1
353,8.0,0,1
354,10.0,0,1
355,63.0,1,1
356,45.0,1,0
357,14.0,0,1
358,19.0,0,1
359,61.0,1,1
360,6.0,0,1
361,7.0,0,1
362,67.0,1,0
363,112.0,1,1
364,9.0,0,1
365,22.0,0,1
366,10.0,0,1
367,6.0,0,0
368,17.0,0,0
369,5.0,0,0
370,23.0,1,1
371,12.0,0,1
372,7.0,0,0
373,30.0,1,1
374,58.0,1,1
375,40.0,1,1
376,12.0,0,0
377,58.0,1,1
378,13.0,0,1
379,52.0,1,1
380,75.0,1,1
381,24.0,1,1
382,38.0,1,1
383,66.0,1,1
384,50.0,1,1
385,60.0,1,1
386,5.0,0,0
387,152.0,1,1
388,38.0,1,1
389,66.0,1,1
390,5.0,0,1
391,43.0,1,1
392,178.0,1,1
393,150.0,1,1
394,47.0,1,1
395,17.0,0,1
396,157.0,1,1
397,128.0,1,1
398,208.0,1,1
399,197.0,1,1
400,191.0,1,1
401,176.0,1,1
402,84.0,1,1
403,155.0,1,1
404,60.0,1,1
405,5.0,0,0
406,7.0,0,0
407,106.0,1,1
408,85.0,1,1
409,88.0,1,1
410,73.0,1,1
411,93.0,1,1
412,65.0,1,1
413,4.0,0,0
414,51.0,1,1
415,37.0,0,1
416,57.0,0,1
417,40.0,1,1
418,8.0,0,1
419,132.0,1,1
420,4.0,0,0
421,54.0,1,1
422,5.0,0,1
423,65.0,1,1
424,132.0,1,1
425,75.0,1,1
