query_id,inliers_top1,baseline_correct,reranked_correct
317,12.0,0,0
318,9.0,0,0
319,6.0,0,1
320,11.0,0,0
321,9.0,0,1
322,7.0,0,0
323,8.0,0,0
324,9.0,0,0
325,7.0,0,0
326,7.0,0,0
327,7.0,0,0
328,6.0,0,0
329,8.0,0,0
330,9.0,0,1
331,9.0,0,0
332,7.0,0,0
333,7.0,0,0
334,9.0,0,0
335,6.0,0,1
336,20.0,0,0
337,8.0,0,0
338,9.0,0,0
339,8.0,0,0
340,8.0,0,0
341,10.0,0,0
342,9.0,0,0
343,7.0,0,0
344,10.0,0,0
345,7.0,0,0
346,9.0,0,0
347,8.0,0,0
348,12.0,0,0
349,6.0,0,0
350,6.0,0,0
351,9.0,0,0
352,6.0,0,0
353,11.0,0,0
354,9.0,0,0
355,7.0,0,0
356,7.0,0,0
357,10.0,0,0
358,10.0,0,0
359,9.0,0,0
360,7.0,0,0
361,7.0,0,0
362,8.0,0,0
363,15.0,0,0
364,10.0,0,0
365,9.0,0,0
366,7.0,0,0
367,10.0,0,0
368,9.0,0,0
369,7.0,0,0
370,8.0,0,0
371,10.0,0,0
372,20.0,0,0
373,8.0,0,0
374,11.0,0,0
375,13.0,0,0
376,8.0,0,0
377,11.0,0,0
378,9.0,0,0
379,9.0,0,1
380,10.0,0,0
381,8.0,0,0
382,7.0,0,0
383,6.0,0,0
384,8.0,0,0
385,12.0,0,0
386,8.0,0,1
387,6.0,0,0
388,8.0,0,0
389,8.0,0,0
390,9.0,0,0
391,6.0,0,0
392,7.0,0,0
393,8.0,0,0
394,7.0,0,0
395,7.0,0,0
396,9.0,0,0
397,10.0,0,0
398,14.0,0,0
399,6.0,0,0
400,6.0,0,0
401,9.0,0,0
402,10.0,0,0
403,9.0,0,0
404,6.0,0,0
405,12.0,0,0
406,12.0,0,0
407,10.0,0,0
408,27.0,0,1
409,10.0,0,0
410,9.0,0,1
411,20.0,0,1
412,8.0,0,1
413,25.0,0,1
414,43.0,1,1
415,41.0,0,1
416,8.0,0,0
417,28.0,0,1
418,40.0,1,1
419,20.0,0,1
420,10.0,0,0
421,53.0,1,1
422,27.0,0,1
423,39.0,1,1
424,54.0,1,1
425,62.0,1,1
426,17.0,0,0
427,7.0,0,0
428,90.0,1,1
429,87.0,1,1
430,94.0,1,1
431,26.0,1,1
432,8.0,0,0
433,50.0,1,1
434,20.0,1,1
435,8.0,0,1
436,8.0,0,1
437,7.0,0,0
438,12.0,0,1
439,10.0,0,1
440,129.0,1,1
441,6.0,0,0
442,10.0,0,0
443,12.0,0,1
444,11.0,0,0
445,10.0,0,1
446,11.0,0,0
