query_id,inliers_top1,baseline_correct,reranked_correct
317,18.0,1,0
318,5.0,0,0
319,24.0,0,1
320,12.0,0,0
321,24.0,1,1
322,14.0,0,1
323,9.0,0,1
324,6.0,0,1
325,4.0,0,1
326,7.0,0,1
327,25.0,1,1
328,10.0,0,1
329,41.0,1,1
330,62.0,1,1
331,47.0,1,1
332,53.0,1,1
333,35.0,1,1
334,46.0,1,1
335,48.0,1,1
336,116.0,1,1
337,6.0,0,1
338,5.0,0,1
339,64.0,1,1
340,19.0,1,1
341,86.0,1,1
342,27.0,1,1
343,21.0,0,0
344,115.0,1,1
345,79.0,1,1
346,86.0,1,1
347,64.0,1,1
348,110.0,1,1
349,31.0,1,1
350,6.0,0,1
351,13.0,0,0
352,93.0,1,1
353,116.0,1,1
354,95.0,1,1
355,63.0,1,1
356,74.0,1,1
357,104.0,1,1
358,138.0,1,1
359,103.0,1,1
360,92.0,1,1
361,74.0,1,1
362,67.0,1,1
363,112.0,1,1
364,101.0,1,1
365,95.0,1,1
366,29.0,1,1
367,58.0,1,1
368,94.0,1,1
369,58.0,1,1
370,51.0,1,1
371,71.0,1,1
372,80.0,1,1
373,65.0,1,1
374,58.0,1,1
375,43.0,1,1
376,84.0,1,1
377,58.0,1,1
378,68.0,1,1
379,60.0,1,1
380,75.0,1,1
381,24.0,1,1
382,61.0,1,1
383,76.0,1,1
384,50.0,1,1
385,60.0,1,1
386,7.0,0,1
387,152.0,1,1
388,38.0,1,1
389,54.0,1,1
390,53.0,1,1
391,43.0,1,1
392,178.0,1,1
393,150.0,1,1
394,47.0,1,1
395,107.0,1,1
396,157.0,1,1
397,145.0,1,1
398,227.0,1,1
399,197.0,1,1
400,176.0,1,1
401,195.0,1,1
402,130.0,1,1
403,155.0,1,1
404,113.0,1,1
405,26.0,1,1
406,5.0,0,0
407,132.0,1,1
408,128.0,1,1
409,71.0,1,1
410,87.0,1,1
411,106.0,1,1
412,77.0,1,1
413,6.0,0,0
414,51.0,1,1
415,37.0,0,1
416,49.0,0,1
417,104.0,1,1
418,7.0,0,0
419,132.0,1,1
420,5.0,0,0
421,79.0,1,1
422,6.0,0,0
423,84.0,1,1
424,132.0,1,1
425,75.0,1,1
426,66.0,1,1
