query_id,inliers_top1,baseline_correct,reranked_correct
317,57.0,1,1
318,12.0,0,0
319,67.0,1,1
320,35.0,1,1
321,6.0,0,1
322,8.0,0,0
323,33.0,1,1
324,11.0,0,1
325,13.0,1,1
326,16.0,0,1
327,6.0,0,0
328,8.0,0,0
329,19.0,1,1
330,14.0,1,1
331,10.0,0,1
332,12.0,0,1
333,11.0,0,1
334,18.0,0,1
335,15.0,1,1
336,10.0,1,0
337,25.0,1,1
338,16.0,1,1
339,7.0,0,0
340,13.0,1,1
341,9.0,0,1
342,8.0,0,0
343,9.0,0,0
344,11.0,0,1
345,9.0,0,0
346,39.0,1,1
347,8.0,1,0
348,10.0,0,0
349,15.0,0,1
350,21.0,1,1
351,12.0,1,0
352,6.0,0,0
353,178.0,1,1
354,8.0,1,1
355,8.0,0,0
356,31.0,1,1
357,72.0,1,1
358,16.0,0,0
359,7.0,0,0
360,37.0,1,1
361,44.0,1,1
362,6.0,0,1
363,7.0,0,0
364,11.0,0,1
365,11.0,0,0
366,10.0,0,0
367,14.0,0,1
368,13.0,0,1
369,13.0,0,1
370,8.0,0,1
371,7.0,0,1
372,11.0,0,1
373,10.0,0,1
374,13.0,0,1
375,13.0,0,0
376,6.0,0,1
377,9.0,0,0
378,28.0,1,1
379,7.0,0,1
380,9.0,0,1
381,8.0,0,1
382,13.0,0,0
383,9.0,0,1
384,12.0,0,1
385,9.0,0,1
386,11.0,1,1
387,30.0,1,1
388,52.0,1,1
389,8.0,0,1
390,9.0,0,1
391,30.0,1,1
392,50.0,1,1
393,22.0,1,1
394,43.0,1,1
395,35.0,1,1
396,6.0,0,0
397,8.0,0,0
398,12.0,0,0
399,69.0,1,1
400,122.0,1,1
401,38.0,1,1
402,7.0,0,1
403,8.0,0,1
404,9.0,0,0
405,131.0,1,1
406,95.0,1,1
407,10.0,0,1
408,56.0,1,1
409,90.0,1,1
410,71.0,1,1
411,50.0,1,1
412,99.0,1,1
413,13.0,1,1
414,57.0,1,1
415,62.0,1,1
416,12.0,0,0
417,17.0,1,1
418,61.0,1,1
419,58.0,1,1
420,7.0,0,0
421,53.0,1,1
422,45.0,1,1
423,19.0,1,1
424,54.0,1,1
425,62.0,1,1
426,8.0,0,0
427,10.0,0,0
428,90.0,1,1
429,87.0,1,1
430,94.0,1,1
431,29.0,1,1
432,10.0,0,0
433,50.0,1,1
434,22.0,1,1
435,24.0,1,1
436,32.0,1,1
437,6.0,0,0
438,27.0,1,1
439,26.0,1,1
440,263.0,1,1
441,88.0,1,1
442,14.0,1,1
443,15.0,1,1
444,290.0,1,1
445,40.0,1,1
446,13.0,0,0
447,42.0,1,1
448,121.0,1,1
449,104.0,1,1
450,9.0,0,0
451,93.0,1,1
452,203.0,1,1
453,198.0,1,1
454,204.0,1,1
455,28.0,1,1
456,120.0,1,1
457,174.0,1,1
458,220.0,1,1
459,6.0,0,0
460,32.0,1,1
461,153.0,1,1
462,170.0,1,1
463,190.0,1,1
