query_id,inliers_top1,baseline_correct,reranked_correct
317,28.0,1,1
318,5.0,0,0
319,34.0,1,1
320,22.0,1,1
321,0.0,0,1
322,2.0,0,0
323,16.0,1,0
324,8.0,0,1
325,29.0,1,1
326,21.0,0,1
327,7.0,0,0
328,5.0,0,0
329,26.0,1,1
330,13.0,1,1
331,11.0,0,1
332,9.0,0,1
333,4.0,0,1
334,23.0,0,0
335,10.0,1,0
336,45.0,1,1
337,23.0,1,1
338,70.0,1,1
339,5.0,0,0
340,25.0,1,1
341,6.0,0,1
342,7.0,0,1
343,6.0,0,0
344,4.0,0,1
345,4.0,0,1
346,41.0,1,1
347,6.0,1,0
348,9.0,0,0
349,0.0,0,1
350,83.0,1,1
351,51.0,1,1
352,8.0,0,1
353,105.0,1,1
354,13.0,1,1
355,11.0,0,1
356,44.0,1,1
357,69.0,1,1
358,7.0,0,0
359,6.0,0,0
360,74.0,1,1
361,55.0,1,1
362,7.0,0,1
363,6.0,0,0
364,4.0,0,1
365,0.0,0,0
366,7.0,0,1
367,10.0,0,1
368,5.0,0,1
369,5.0,0,1
370,4.0,0,1
371,6.0,0,1
372,4.0,0,1
373,5.0,0,1
374,11.0,0,1
375,8.0,0,1
376,6.0,0,1
377,6.0,0,0
378,86.0,1,1
379,8.0,0,1
380,5.0,0,1
381,5.0,0,1
382,9.0,0,0
383,6.0,0,1
384,8.0,0,0
385,7.0,0,0
386,7.0,1,1
387,78.0,1,1
388,58.0,1,1
389,14.0,0,1
390,6.0,0,1
391,44.0,1,1
392,39.0,1,1
393,32.0,1,1
394,52.0,1,1
395,47.0,1,1
396,2.0,0,0
397,6.0,0,0
398,8.0,0,0
399,35.0,1,1
400,98.0,1,1
401,52.0,1,1
402,9.0,0,0
403,18.0,0,0
404,13.0,0,0
405,156.0,1,1
406,52.0,1,1
407,7.0,0,1
408,41.0,1,1
409,140.0,1,1
410,85.0,1,1
411,33.0,1,1
412,143.0,1,1
413,66.0,1,1
414,48.0,1,1
415,42.0,1,1
416,10.0,0,0
417,44.0,1,1
418,26.0,1,1
419,49.0,1,1
420,4.0,0,0
421,28.0,1,1
422,15.0,1,1
423,14.0,1,1
424,70.0,1,1
425,29.0,1,1
426,5.0,0,0
427,9.0,0,0
428,81.0,1,1
429,80.0,1,1
430,66.0,1,1
431,33.0,1,1
432,11.0,0,0
433,44.0,1,1
434,51.0,1,1
435,12.0,1,1
436,8.0,1,1
437,4.0,0,0
438,26.0,1,1
439,39.0,1,1
440,87.0,1,1
441,65.0,1,1
442,38.0,1,1
443,13.0,1,1
444,149.0,1,1
445,57.0,1,1
446,6.0,0,0
447,60.0,1,1
448,62.0,1,1
449,92.0,1,1
450,6.0,0,0
451,68.0,1,1
452,103.0,1,1
453,102.0,1,1
454,76.0,1,1
455,20.0,1,1
456,41.0,1,1
457,90.0,1,1
458,110.0,1,1
459,5.0,0,0
460,43.0,1,1
461,109.0,1,1
462,79.0,1,1
463,80.0,1,1
464,64.0,1,1
465,73.0,1,1
466,88.0,1,1
467,85.0,1,1
468,107.0,1,1
469,99.0,1,1
470,85.0,1,1
471,82.0,1,1
472,76.0,1,1
473,103.0,1,1
474,22.0,1,1
475,81.0,1,1
476,37.0,0,1
477,76.0,1,1
478,95.0,1,1
479,109.0,1,1
480,5.0,0,0
481,101.0,1,1
482,5.0,0,0
483,8.0,0,0
484,9.0,0,1
485,8.0,0,1
486,6.0,0,1
487,97.0,1,1
488,5.0,0,1
489,57.0,1,1
490,28.0,1,1
491,70.0,1,1
492,5.0,0,0
493,65.0,1,1
494,74.0,1,1
495,10.0,0,1
496,6.0,0,1
497,59.0,1,1
498,6.0,0,0
499,75.0,1,1
500,70.0,1,1
501,7.0,0,0
502,46.0,1,1
503,12.0,0,0
504,100.0,1,1
505,14.0,0,1
506,86.0,1,1
507,7.0,0,0
508,19.0,1,1
509,100.0,1,1
510,5.0,0,0
511,6.0,0,0
512,81.0,1,1
513,5.0,0,0
514,160.0,1,1
515,10.0,0,0
516,34.0,1,1
517,146.0,1,1
518,114.0,1,1
519,82.0,1,1
520,4.0,0,1
521,4.0,0,0
522,71.0,1,1
523,51.0,1,1
524,79.0,1,1
525,5.0,0,0
526,53.0,1,1
527,16.0,1,1
528,9.0,0,1
529,4.0,0,1
530,4.0,0,0
531,51.0,1,1
532,5.0,0,0
533,2.0,0,1
534,6.0,0,0
535,3.0,0,0
536,9.0,0,1
537,8.0,0,1
538,33.0,1,1
539,0.0,0,0
540,9.0,0,0
541,3.0,0,0
542,4.0,0,1
543,1.0,0,0
544,8.0,0,0
545,64.0,1,1
546,143.0,1,1
547,5.0,0,1
548,4.0,0,1
549,4.0,0,0
550,16.0,1,1
551,7.0,0,0
552,7.0,1,1
553,6.0,0,0
554,22.0,1,1
555,4.0,0,0
556,4.0,0,1
557,44.0,1,1
558,6.0,0,0
559,27.0,1,1
560,52.0,1,1
561,8.0,0,1
562,46.0,1,1
563,46.0,1,1
564,6.0,0,1
565,6.0,0,1
566,0.0,0,1
567,73.0,1,1
568,4.0,0,1
569,53.0,1,1
570,7.0,0,1
571,97.0,1,1
572,62.0,1,1
573,4.0,0,1
574,17.0,1,1
575,111.0,1,1
576,57.0,1,1
577,7.0,0,0
578,21.0,0,1
579,14.0,0,1
580,125.0,1,1
581,5.0,0,0
582,54.0,1,1
583,24.0,0,1
584,70.0,1,1
585,62.0,1,1
586,4.0,0,1
587,5.0,0,0
588,94.0,1,1
589,15.0,0,1
590,35.0,0,0
591,28.0,0,1
592,57.0,1,1
593,68.0,1,1
594,13.0,0,1
595,105.0,1,1
596,70.0,1,1
597,27.0,0,0
598,60.0,1,1
599,6.0,0,1
600,20.0,0,0
601,43.0,1,1
602,4.0,0,0
603,5.0,0,0
604,108.0,1,1
605,0.0,0,0
606,0.0,0,0
607,69.0,1,1
608,8.0,0,0
609,5.0,0,0
610,81.0,1,1
611,16.0,1,1
612,82.0,1,1
613,4.0,0,1
614,5.0,0,1
615,20.0,1,1
616,19.0,1,1
617,13.0,0,1
618,7.0,0,1
619,10.0,0,1
620,13.0,1,1
621,3.0,0,0
622,67.0,1,1
623,8.0,0,1
624,8.0,0,0
625,71.0,1,1
626,5.0,0,0
627,5.0,0,0
628,57.0,1,1
629,17.0,1,1
630,28.0,1,1
631,9.0,1,1
632,13.0,1,1
633,6.0,0,0
634,9.0,0,0
635,34.0,1,1
636,7.0,0,0
637,8.0,0,1
638,6.0,0,0
639,5.0,0,0
640,12.0,0,0
641,6.0,0,0
642,6.0,0,0
643,5.0,0,1
644,5.0,0,0
645,5.0,0,1
646,4.0,0,1
